x/D,U
0.00, 63.65
0.42, 63.86
1.45, 63.43
2.54, 63.43
3.87, 62.90
5.07, 61.53
6.22, 61.21
7.55, 60.36
9.06, 59.09
10.39, 58.03
11.42, 56.44
12.80, 55.49
13.95, 53.90
15.34, 52.10
16.73, 50.62
17.88, 46.60
19.15, 45.33
20.60, 44.16
22.04, 42.68
23.25, 41.51
24.46, 39.61
25.67, 38.55
28.45, 35.90
30.86, 32.51
33.58, 29.76
36.12, 27.43
38.77, 24.15
41.37, 22.24
44.09, 20.97
46.63, 19.06
49.16, 17.58
51.76, 16.31
54.24, 14.93
56.89, 13.77
59.43, 12.39
62.15, 11.65
64.69, 11.65
67.46, 10.80
69.94, 9.85
